code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000001,平安银行,银行,深圳,9.44,1180405.5,1430867.63,230477520,0,369700,5227000,3.65,0.393,9.97,1.49,19910403
000002,万  科Ａ,全国地产,深圳,63.53,970667.75,1103750.75,52604044,48119860,322143.41,855471.38,0.78,0.059,8.05,1.86,19910129
000004,国农科技,生物制药,深圳,0,8387.54,8397.66,34261.2,26671.99,3918.85,66.45,0.01,-0.022,0.93,28.78,19910114
000005,世纪星源,区域地产,深圳,0,91374.29,91433.35,135923.61,24009.72,2316.55,26976.98,0.3,-0.009,0.72,7.49,19901210
000006,深振业Ａ,区域地产,深圳,18.75,133889.7,134999.5,1216910.88,994085.81,386.71,48432.15,0.36,0.149,3.21,3.49,19920427
000007,零七股份,酒店餐饮,深圳,0,20588.71,23096.53,67002.88,45329.12,7599.77,42324.12,1.83,-0.021,1.52,19.25,19920413
000008,神州高铁,综合类,深圳,94.62,21359.4,80314.42,341770.66,153892.25,43498.23,192502.34,2.4,0.07,3.46,7.7,19920507
000009,中国宝安,全国地产,深圳,76.63,148966.91,159210.73,1502831.38,1019709.38,169845.92,52214.35,0.33,0.035,2.34,4.57,19910625
000010,深华新,建筑施工,北京,0,35815.75,58806.98,87190.24,68414.81,4555.64,13204.07,0.22,-0.004,0.93,8,19951027
000011,深物业A,区域地产,深圳,4001.91,17586.25,59597.91,381682.59,312654.91,6055.58,11995.15,0.2,0.001,3.48,2.75,19920330
000012,南  玻Ａ,玻璃,深圳,87.54,130276.85,207533.56,1536103.75,160344.94,1004125.88,134017.2,0.65,0.04,4.09,3.39,19920228
000014,沙河股份,全国地产,深圳,2310.64,20170.51,20170.51,215927.91,196369.72,2203.67,996.57,0.05,0.002,3.3,4.67,19920602
000016,深康佳Ａ,家用电器,深圳,1171.39,59991.5,120397.27,1608408.38,1211343.13,177429.66,128940.36,1.07,0.006,3.41,8.84,19920327
000017,深中华A,文教休闲,深圳,6253.81,30297.66,55134.78,6198.35,5673.98,90.19,62783.42,1.14,0,0.02,559.25,19920331
000018,中冠A,纺织,深圳,0,9972.04,16914.24,18507.65,7512.68,132.19,3943.16,0.23,-0.002,0.77,30.43,19920616
000019,深深宝Ａ,软饮料,深圳,0,25225.24,30108.01,110450.13,49415.17,39160.28,51818.64,1.72,-0.032,3.19,3.93,19921012
000020,深华发Ａ,元器件,深圳,2545.52,6467.54,28316.11,114217.17,87108.65,18323.42,10949.67,0.39,0.002,1,18.48,19920428
000021,深科技,电脑设备,深圳,63.93,146981.44,147125.94,1416164.5,1079183.25,137438.27,72517.36,0.49,0.035,3.53,2.56,19940202
000022,深赤湾Ａ,港口,深圳,41.94,46486.73,64476.37,697099.56,81401.97,326795.06,16269.85,0.25,0.159,6.54,4.08,19930505
000023,深天地Ａ,建筑施工,深圳,0,13875.62,13875.62,140370.31,124557.61,11947.82,10252.63,0.74,-0.013,2.6,6.89,19930429
000024,招商地产,全国地产,深圳,31.19,102642.63,257595.06,16157706,15011594,181605.61,853778.13,3.31,0.254,12.33,2.57,19930607
000025,特  力Ａ,汽车服务,深圳,1253.45,17929.46,29728.16,142327.63,73869.49,14085.82,56419.26,1.9,0.003,2.78,4.78,19930621
000026,飞亚达Ａ,其他商业,深圳,25.02,31107,39276.78,393718.09,295304.97,36503.48,52550.81,1.34,0.114,4.28,2.68,19930603
000027,深圳能源,火力发电,深圳,23.11,143752.5,396449.16,3910804.5,1227769.88,1454984.25,431416.56,1.09,0.092,4.57,1.86,19930903
000028,国药一致,医药商业,深圳,29.22,23326.17,36263.19,1339926.25,1155148.38,73507.34,186389.45,5.14,0.543,13.68,4.64,19930809
000029,深深房Ａ,区域地产,深圳,88,89166,101166,440376.94,380651.59,5264.6,97824.49,0.97,0.025,2.16,4.01,19930915
000030,富奥股份,汽车配件,吉林,26.59,56056.17,129869.52,742463.25,338554.94,135343.92,51970.48,0.4,0.125,3.44,3.86,19930929
000031,中粮地产,全国地产,深圳,82.33,181372.02,181373.16,4651587.5,4099012.75,57983.31,26449.39,0.15,0.04,3.29,3.96,19931008
000032,深桑达Ａ,元器件,深圳,1599.59,23284.1,23286.42,135246.06,81494.4,6147.75,20723.75,0.89,0.002,3.83,3.48,19931028
000034,深信泰丰,综合类,深圳,35.82,34006.42,35797.35,44590.28,24573.07,5811.23,64072.68,1.79,0.064,0.53,17.46,19940509
000035,中国天楹,通信设备,江苏,101.72,35362.69,61927.89,405392.41,93454.4,73829.4,94385.43,1.52,0.07,2.68,8.75,19940408
000036,华联控股,全国地产,深圳,0,112388.02,114048.77,542764,440600.19,28917.65,12771,0.11,-0.008,1.66,2.55,19940617
000037,深南电Ａ,火力发电,深圳,0,33889.35,60276.26,541757.75,340698.97,181112.05,36275.07,0.6,-0.147,1.96,4.36,19940701
000038,深大通,区域地产,深圳,0,2803.19,9622.79,64796.21,63892.32,6.96,2234.82,0.23,-0.006,1.14,23.81,19940808
000039,中集集团,轻工机械,深圳,29.59,124151.45,267262.84,9334533,4832088,1975086.25,70169.8,0.26,0.186,8.55,2.58,19940408
000040,宝安地产,全国地产,深圳,175.27,46443.83,46959.33,434277.84,403267.69,6996.91,27375.21,0.58,0.014,2.72,3.57,19940808
000042,中洲控股,全国地产,深圳,5.53,47879.07,47892.6,1623045.38,1277865.5,18501.17,58488.8,1.22,0.963,7.85,2.71,19940921
000043,中航地产,全国地产,深圳,0,66696.14,66696.14,2154409.75,1595107.88,14993.05,44780.07,0.67,-0.102,5.15,1.91,19940928
000045,深纺织Ａ,纺织,深圳,333.81,40556.39,50652.17,288707.75,171370.69,80939.53,158513,3.13,0.009,4.31,2.65,19940815
000046,泛海控股,全国地产,深圳,58.78,455078.81,455731.19,8354349,7101407,55717.2,163438.11,0.36,0.057,2.1,6.33,19940912
